# mass	sfr	metal
1.051458358764648438e+01 5.462201237678527832e-01 8.978538513183593750e+00
9.826818466186523438e+00 7.953009754419326782e-02 8.731776237487792969e+00
8.477222442626953125e+00 -9.868599176406860352e-01 8.340597152709960938e+00
9.186474800109863281e+00 -1.410699039697647095e-01 8.595449447631835938e+00
1.024057579040527344e+01 4.362300932407379150e-01 9.140713691711425781e+00
1.031892299652099609e+01 -2.734990417957305908e-02 8.833035469055175781e+00
9.360949516296386719e+00 -3.776398897171020508e-01 8.962415695190429688e+00
1.012617588043212891e+01 4.278000891208648682e-01 8.968626976013183594e+00
9.651736259460449219e+00 -5.676990374922752380e-02 9.003167152404785156e+00
9.475008010864257812e+00 5.515009909868240356e-02 8.616106033325195312e+00
9.148845672607421875e+00 -6.024199128150939941e-01 8.583607673645019531e+00
1.014304733276367188e+01 6.619400978088378906e-01 9.019680976867675781e+00
1.058139801025390625e+01 4.501200914382934570e-01 8.992324829101562500e+00
9.069822311401367188e+00 -7.152498960494995117e-01 8.693826675415039062e+00
1.079948139190673828e+01 1.224250078201293945e+00 9.024160385131835938e+00
9.798761367797851562e+00 -1.008699014782905579e-01 8.980666160583496094e+00
1.103475284576416016e+01 1.212850093841552734e+00 9.090273857116699219e+00
7.533012390136718750e+00 -7.119898796081542969e-01 8.014567375183105469e+00
1.039341926574707031e+01 5.365201234817504883e-01 9.235482215881347656e+00
9.280526161193847656e+00 -5.405799150466918945e-01 8.774389266967773438e+00
9.961362838745117188e+00 -1.243990752846002579e-02 9.060142517089843750e+00
1.010956192016601562e+01 2.323900908231735229e-01 9.059059143066406250e+00
9.778596878051757812e+00 2.974200844764709473e-01 8.888916969299316406e+00
1.022573471069335938e+01 3.982501029968261719e-01 8.849521636962890625e+00
9.957264900207519531e+00 8.845009654760360718e-02 8.844371795654296875e+00
9.944569587707519531e+00 5.192301273345947266e-01 8.888023376464843750e+00
8.065872192382812500e+00 -1.722659945487976074e+00 8.259860038757324219e+00
1.002895545959472656e+01 8.152500987052917480e-01 8.919190406799316406e+00
9.777137756347656250e+00 -6.552498936653137207e-01 8.990500450134277344e+00
1.030290603637695312e+01 8.749400973320007324e-01 8.784537315368652344e+00
1.057415866851806641e+01 6.291701197624206543e-01 9.168595314025878906e+00
8.426181793212890625e+00 -6.308699250221252441e-01 8.115830421447753906e+00
1.015516376495361328e+01 1.061500981450080872e-01 8.934864044189453125e+00
9.877207756042480469e+00 2.029500901699066162e-01 8.965528488159179688e+00
9.930441856384277344e+00 -5.553799271583557129e-01 8.987503051757812500e+00
1.054881477355957031e+01 8.704100847244262695e-01 9.255819320678710938e+00
1.018201828002929688e+01 1.033280134201049805e+00 8.840537071228027344e+00
9.694127082824707031e+00 2.248000949621200562e-01 8.820111274719238281e+00
